"Dataset","Reference","Strain name","Geographic origin (from reference)","Substrate (from reference)","Substrate cd (from reference)","Type/style","Origin","Source","Genetic group","Genetic group general","Accessions","Coverage","BB_clade"
"Gonclaves","[3]","TUM381","Belgium","Belgian beer",,"Beer","Belgium","Beer","B1","Ale1","ERR1352844,ERS1108612",64.8,
"Gonclaves","[3]","TUM480","South Africa","Opaque beer",,"Beer","Other","Beer","Beer/Bread","Beer/baking","ERR1352868,ERS1108636",76,"clade1C"
"Gonclaves","[3]","TUM503","NA","California ale",,"Ale","NA","Beer","B3","Ale1","ERR1352858,ERS1108626",81.1,
"Gonclaves","[3]","TUM506","Great Britain","British ale",,"Ale","UK/IE","Beer","Beer/Bread","Beer/baking","ERR1352866,ERS1108634",51.5,"clade1A"
"Gonclaves","[3]","TUM507","NA","Ale Beer from wheatmalt",,"Ale","NA","Beer","B1","Ale1","ERR1352848,ERS1108616",82.9,
"Gonclaves","[3]","TUM508","Ireland","Irish ale/stout",,"Stout","UK/IE","Beer","B3","Ale1","ERR1352862,ERS1108630",80.2,
"Gonclaves","[3]","TUM510","Great Britain","British ale",,"Ale","UK/IE","Beer","B3","Ale1","ERR1352857,ERS1108625",74.5,
"Gonclaves","[3]","TUM513","NA","California ale",,"Ale","NA","Beer","B2","Ale2","ERR1352850,ERS1108618",65.8,
"Gonclaves","[3]","W205","NA","Hefeweizen ale yeast",,"Hefeweizen","NA","Beer","B1","Ale1","SRR403241",65.5,
"Peter","[4]","AAC","England","Brewers","Beer","Beer","UK/IE","Beer","11.A","Ale1","ERR1309038,ERS1082032,SAMEA3894898",321.8,
"Peter","[4]","AAL","France","Bakery","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1309297,ERS1082039,SAMEA3894905",229.4,"clade1D"
"Peter","[4]","AAM","France","Bakery","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1308737,ERS1082040,SAMEA3894906",227.7,"clade1D"
"Peter","[4]","AAN","Czech Republic","Bakery","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1308608,ERS1082041,SAMEA3894907",212.1,"clade1A"
"Peter","[4]","AAP","Australia","Bakery","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1309494,ERS1082042,SAMEA3894908",236.1,"clade1A"
"Peter","[4]","ABV","Tijuca forest, Rio de Janeiro, Brazil","Poluted stream","Water","Other","Other","Wild","08.M","Beer/baking","ERR1308582,ERS1082065,SAMEA3894931",284.9,"clade1A"
"Peter","[4]","ADL","Netherlands","Bakery","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1309122,ERS1082094,SAMEA3894960",260.5,"clade1C"
"Peter","[4]","ADM","Vietnam","Bakery","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1309212,ERS1082095,SAMEA3894961",344,"clade1C"
"Peter","[4]","ADP","French Guiana","Unknown","Unknown","Other","Other","NA","08.M","Beer/baking","ERR1308698,ERS1082097,SAMEA3894963",315.6,"clade1D"
"Peter","[4]","AEB","Oranjeboom brewery, Rotterdam, Netherlands","Brewers top yeast","Beer","Beer","Other","Beer","11.A","Ale2","ERR1309300,ERS1082104,SAMEA3894970",259.5,
"Peter","[4]","AEC","NA","Brewers yeast","Beer","Beer","NA","Beer","11.A","Ale1","ERR1309314,ERS1082105,SAMEA3894971",277.7,
"Peter","[4]","AEM","NA","Beer wort","Beer","Beer","NA","Beer","08.M","Beer/baking","ERR1308627,ERS1082113,SAMEA3894979",253.7,"clade1D"
"Peter","[4]","AEV","Rotterdam, Netherlands","Tapwater","Water","Other","Other","Wild","08.M","Beer/baking","ERR1308650,ERS1082120,SAMEA3894986",260.6,"clade1B"
"Peter","[4]","AFC","Goteborg, Sweden","Salmo gairdneri (rainbow trout)","Nature","Other","Other","Wild","08.M","Beer/baking","ERR1309327,ERS1082123,SAMEA3894989",324.6,"clade1D"
"Peter","[4]","AFE","Sweden","Seawater","Water","Other","Other","Wild","08.M","Beer/baking","ERR1309127,ERS1082125,SAMEA3894991",250.4,"clade1D"
"Peter","[4]","AFF","France","Bakery","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1309131,ERS1082126,SAMEA3894992",241.6,"clade1D"
"Peter","[4]","AFT","Austria","Infected nail of 4 yo girl","Human, clinical","Other","Other","Clinical","08.M","Beer/baking","ERR1308987,ERS1082138,SAMEA3895004",278.1,"clade1D"
"Peter","[4]","AGB","South Yorkshire, UK","Brewer yeast, Yorkshire type","Beer","Beer","UK/IE","Beer","11.A","Ale1","ERR1308642,ERS1082141,SAMEA3895007",145.3,
"Peter","[4]","AGE","NA","Bakery","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1309444,ERS1082143,SAMEA3895009",259.2,
"Peter","[4]","AGK","UK","Trinidadian cane sugar","Nature","Other","Other","Wild","08.M","Beer/baking","ERR1308858,ERS1082148,SAMEA3895014",806.1,"clade1D"
"Peter","[4]","AHV","NA","Brewery","Beer","Beer","NA","Beer","08.M","Beer/baking","ERR1309271,ERS1082175,SAMEA3895041",219,"clade1D"
"Peter","[4]","AKT","Pichincha, Ecuador","Stingless bee","Insect","Other","Other","Wild","08.M","Beer/baking","ERR1308849,ERS1082206,SAMEA3895072",228.8,"clade1C"
"Peter","[4]","ALN","Bratislava, Deninska Nova Ves, Slovakia","River water (Morava)","Water","Other","Other","Wild","08.M","Beer/baking","ERR1309320,ERS1082219,SAMEA3895085",290.5,"clade1A"
"Peter","[4]","ALP","Bratislava, Deninska Nova Ves, Slovakia","River water Morava","Water","Other","Other","Wild","08.M","Beer/baking","ERR1309260,ERS1082220,SAMEA3895086",275.8,"clade1A"
"Peter","[4]","ALV","Male Zaluzie, Slovakia","Fruit of plum tree (Prunus domestica L., 'Stanley')","Fruit","Other","Other","Wild","08.M","Beer/baking","ERR1309155,ERS1082225,SAMEA3895091",243.7,"clade1A"
"Peter","[4]","AMG","Tuchih, Nantou, Taiwan","Leaf of Ardisia cornudentata","Tree","Other","Other","Wild","08.M","Beer/baking","ERR1309347,ERS1082231,SAMEA3895097",227.6,"clade1D"
"Peter","[4]","AMI","Yuchih, Nantou, Taiwan","Leaf of Podocarppus macrophyllus","Tree","Other","Other","Wild","08.M","Beer/baking","ERR1309063,ERS1082233,SAMEA3895099",297.6,"clade1D"
"Peter","[4]","AMK","Tuchih, Nantou, Taiwan","Leaf of Cunninghamia lanceolata","Tree","Other","Other","Wild","08.M","Beer/baking","ERR1309092,ERS1082234,SAMEA3895100",277.7,"clade1D"
"Peter","[4]","AML","Tuchih, Nantou, Taiwan","Leaf of Acacia dealbata","Tree","Other","Other","Wild","08.M","Beer/baking","ERR1308615,ERS1082235,SAMEA3895101",246.1,"clade1D"
"Peter","[4]","AMN","Tuchih, Nantou, Taiwan","Leaf of Wendlandia formosana","Tree","Other","Other","Wild","08.M","Beer/baking","ERR1309385,ERS1082237,SAMEA3895103",310.7,"clade1A"
"Peter","[4]","AMQ","Tuchih, Nantou, Taiwan","Leaf of Acacia dealbata","Tree","Other","Other","Wild","08.M","Beer/baking","ERR1308864,ERS1082239,SAMEA3895105",233.2,"clade1D"
"Peter","[4]","ANP","Navassa Island","Drosophila sp. from Opuntia stricta,","Insect","Other","Other","Wild","08.M","Beer/baking","ERR1309376,ERS1082255,SAMEA3895121",245.9,"clade1D"
"Peter","[4]","API","Korea","type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1308707,ERS1082268,SAMEA3895134",266,"clade1D"
"Peter","[4]","APK","South Africa","Baker's yeast","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1308678,ERS1082269,SAMEA3895135",286.2,"clade1D"
"Peter","[4]","APL","Turkey","type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1309404,ERS1082270,SAMEA3895136",244.1,"clade1B"
"Peter","[4]","APM","Korea","type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1309296,ERS1082271,SAMEA3895137",263.2,"clade1D"
"Peter","[4]","APN","Philippines","type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1309119,ERS1082272,SAMEA3895138",310.7,"clade1D"
"Peter","[4]","AQI","Sweden","Seawater","Water","Other","Other","Wild","08.M","Beer/baking","ERR1309318,ERS1082286,SAMEA3895152",234.5,"clade1D"
"Peter","[4]","AQT","Belgium","Beer","Beer","Beer","Belgium","Beer","11.A","Ale2","ERR1309217,ERS1082293,SAMEA3895159",270.3,
"Peter","[4]","ASH","Netherlands","Beer holland","Beer","Beer","Other","Beer","11.A","Ale2","ERR1308979,ERS1082317,SAMEA3895183",192.8,
"Peter","[4]","ASL","Anatolia, Turkey","Bakery levain","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1309203,ERS1082318,SAMEA3895184",308.8,"clade1D"
"Peter","[4]","ASP","France","Unknown","Unknown","Other","Other","NA","08.M","Beer/baking","ERR1309151,ERS1082321,SAMEA3895187",265.1,"clade1D"
"Peter","[4]","ATR","Spain","Fruit","Fruit","Other","Other","Wild","08.M","Beer/baking","ERR1309498,ERS1082336,SAMEA3895202",244,"clade1D"
"Peter","[4]","ATS","Spain","Flower","Flower","Other","Other","Wild","08.M","Beer/baking","ERR1308978,ERS1082337,SAMEA3895203",318.8,"clade1D"
"Peter","[4]","ATV","UK","Beer","Beer","Beer","UK/IE","Beer","11.A","Ale1","ERR1309313,ERS1082338,SAMEA3895204",308.8,
"Peter","[4]","BBC","Laksarska Nova Ves, Slovakia","Fruitbody of mushroom Xerocomus badius (Fr.) Gilb.","Fruit","Other","Other","Wild","08.M","Beer/baking","ERR1308693,ERS1082375,SAMEA3895241",395.2,"clade1A"
"Peter","[4]","BBD","Jakubov, Slovakia","Fish pond water","Water","Other","Other","Wild","08.M","Beer/baking","ERR1309196,ERS1082376,SAMEA3895242",387.7,"clade1A"
"Peter","[4]","BBE","Jakubov, Slovakia","Sediment of fresh water lake","Water","Other","Other","Wild","08.M","Beer/baking","ERR1309236,ERS1082377,SAMEA3895243",383.5,"clade1A"
"Peter","[4]","BBF","Bratislava, Slovakia","River water (Danube)","Water","Other","Other","Wild","08.M","Beer/baking","ERR1308652,ERS1082378,SAMEA3895244",289.1,"clade1A"
"Peter","[4]","BBG","Devinska Nova Ves, Slovakia","River water (Morava)","Water","Other","Other","Wild","11.A","Ale2","ERR1309440,ERS1082379,SAMEA3895245",321.8,
"Peter","[4]","BBP","Spain","Flower of Centaurea alba","Flower","Other","Other","Wild","08.M","Beer/baking","ERR1308640,ERS1082385,SAMEA3895251",261.2,"clade1D"
"Peter","[4]","BCR","Israel","Evolution canyon","Nature","Other","Other","Wild","08.M","Beer/baking","ERR1309079,ERS1082406,SAMEA3895272",289.4,"clade1D"
"Peter","[4]","BCS","Israel","Evolution canyon","Nature","Other","Other","Wild","08.M","Beer/baking","ERR1308581,ERS1082407,SAMEA3895273",291.1,"clade1D"
"Peter","[4]","BCT","Israel","Evolution canyon","Nature","Other","Other","Wild","08.M","Beer/baking","ERR1309279,ERS1082408,SAMEA3895274",330.7,
"Peter","[4]","BDL","Equador","Beer","Beer","Beer","Other","Beer","08.M","Beer/baking","ERR1309445,ERS1082420,SAMEA3895286",290.3,"clade1C"
"Peter","[4]","BFE","NA","Spoiled gooseberry juice","Industrial","Other","Other","Wild","08.M","Beer/baking","ERR1309274,ERS1082451,SAMEA3895317",308.4,"clade1C"
"Peter","[4]","BFG","NA","Rotten wood","Nature","Other","Other","Wild","08.M","Beer/baking","ERR1309059,ERS1082452,SAMEA3895318",236.2,"clade1C"
"Peter","[4]","BFM","Slovenia","Petrol station, oil contaminated asphalt","Industrial","Other","Other","Wild","08.M","Beer/baking","ERR1308976,ERS1082456,SAMEA3895322",282.9,"clade1C"
"Peter","[4]","BMG","Norway","Human sputum","Human, clinical","Other","Other","Clinical","08.M","Beer/baking","ERR1309341,ERS1082562,SAMEA3895428",387.9,"clade1D"
"Peter","[4]","BML","Belgium","Vagina","Human, clinical","Other","Other","Clinical","08.M","Beer/baking","ERR1309174,ERS1082566,SAMEA3895432",365.2,"clade1C"
"Peter","[4]","BMM","Vall d'Hebron hospital, Barcelona, Spain","Vagina","Human, clinical","Other","Other","Clinical","08.M","Beer/baking","ERR1309282,ERS1082567,SAMEA3895433",251.8,"clade1C"
"Peter","[4]","BRP","Belgium","Artois Peterman beer","Beer","Beer","Belgium","Beer","11.A","Ale2","ERR1309377,ERS1082631,SAMEA3895497",357.8,
"Peter","[4]","BRQ","Belgium","Orval Trappist beer","Beer","Trappist","Belgium","Beer","11.A","Ale2","ERR1309175,ERS1082632,SAMEA3895498",414.4,
"Peter","[4]","BSI","Belgium","Beer","Beer","Beer","Belgium","Beer","11.A","Ale2","ERR1309026,ERS1082640,SAMEA3895506",310.9,
"Peter","[4]","BTC","NA","Fleischmann baker's yeast.","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1308822,ERS1082651,SAMEA3895517",286.5,"clade1D"
"Peter","[4]","BTD","NA","type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1308763,ERS1082652,SAMEA3895518",127,"clade1C"
"Peter","[4]","BTE","NA","type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1308903,ERS1082653,SAMEA3895519",335.6,"clade1C"
"Peter","[4]","BTF","NA","type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1309378,ERS1082654,SAMEA3895520",482,"clade1D"
"Peter","[4]","CBF","Matera, Italy","Sourdough levan","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1309133,ERS1082700,SAMEA3895566",281.9,"clade1C"
"Peter","[4]","CBR","UK","Ale strain","Beer","Ale","UK/IE","Beer","11.A","Ale1","ERR1308964,ERS1082708,SAMEA3895574",252.9,
"Peter","[4]","CDR","Spain","Flowers of Centaurea alba","Flower","Other","Other","Wild","08.M","Beer/baking","ERR1309163,ERS1082740,SAMEA3895606",281.4,"clade1D"
"Peter","[4]","CFC","Westmalle, Belgium","Carlsberg Beer, Abbey ale yeast (Westmalle brewery)","Beer","Beer","Belgium","Beer","11.A","Ale2","ERR1308839,ERS1082765,SAMEA3895631",252.1,
"Peter","[4]","CFD","USA","Carlsberg Beer, American Ale yeast","Beer","Ale","US/CA","Beer","11.A","Ale1","ERR1309393,ERS1082766,SAMEA3895632",229.3,
"Peter","[4]","CFG","UK","Carlsberg Beer","Beer","Beer","UK/IE","Beer","11.A","Ale1","ERR1309291,ERS1082769,SAMEA3895635",327.3,
"Peter","[4]","CFH","UK","Carlsberg Beer","Beer","Beer","UK/IE","Beer","11.A","Ale1","ERR1309433,ERS1082770,SAMEA3895636",342.5,
"Peter","[4]","CFI","UK","Carlsberg Beer","Beer","Beer","UK/IE","Beer","08.M","Beer/baking","ERR1309381,ERS1082771,SAMEA3895637",299.8,"clade1B"
"Peter","[4]","CFM","San Diego, USA","Carlsberg Beer, ""San Diego Super Yeast""","Beer","Beer","US/CA","Beer","11.A","Ale1","ERR1309468,ERS1082772,SAMEA3895638",313.6,
"Peter","[4]","CFN","NA","Carlsberg Beer","Beer","Beer","NA","Beer","08.M","Beer/baking","ERR1308648,ERS1082773,SAMEA3895639",348.5,"clade1B"
"Peter","[4]","CFP","NA","Carlsberg Beer","Beer","Beer","NA","Beer","08.M","Beer/baking","ERR1308594,ERS1082774,SAMEA3895640",268.7,"clade1A"
"Peter","[4]","CGC","Davis, CA, UCD","Female olive fly, surface sterilized, smashed, plated on RBCA","Fruit","Other","Other","Wild","11.A","Ale2","ERR1309334,ERS1082781,SAMEA3895647",355.2,
"Peter","[4]","CHG","Vietnam","Bakery","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1308990,ERS1082802,SAMEA3895668",267,"clade1C"
"Peter","[4]","CHH","France","Bakery","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1308772,ERS1082803,SAMEA3895669",296.2,"clade1C"
"Peter","[4]","CHI","USA","Bakery","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1309321,ERS1082804,SAMEA3895670",243,"clade1A"
"Peter","[4]","CHK","UK","Brewery","Beer","Beer","UK/IE","Beer","08.M","Beer/baking","ERR1309299,ERS1082805,SAMEA3895671",254.4,"clade1B"
"Peter","[4]","CHL","Northern Europe","Bakery","Bakery","Other","Other","Baking","08.M","Beer/baking","ERR1309074,ERS1082806,SAMEA3895672",228.5,"clade1D"
"Peter","[4]","CHR","France","Vagina","Human, clinical","Other","Other","Clinical","08.M","Beer/baking","ERR1309136,ERS1082811,SAMEA3895677",255.7,"clade1C"
"Peter","[4]","CIE","Spain","Mouth","Human, clinical","Other","Other","Clinical","08.M","Beer/baking","ERR1309210,ERS1082819,SAMEA3895685",237.1,"clade1D"
"Peter","[4]","CKK","Amiens, France","Feces, clinical","Human, clinical","Other","Other","Clinical","08.M","Beer/baking","ERR1309226,ERS1082843,SAMEA3895709",181.7,"clade1C"
"Peter","[4]","CKS","France","Unknown","Human, clinical","Other","Other","Clinical","08.M","Beer/baking","ERR1309340,ERS1082850,SAMEA3895716",272.5,"clade1C"
"Peter","[4]","CLA","France","Unknown","Human, clinical","Other","Other","Clinical","08.M","Beer/baking","ERR1309416,ERS1082853,SAMEA3895719",226.5,"clade1C"
"Jean-Talon","[this study]","Jean-Talon","Quebec, canada","Archeological site, non-existing brewery",,"Beer","US/CA","Beer","Jean-Talon","Beer/baking","SRR11008156,SRR11006089",76.1,"clade1B"
